"RevolvingUtilizationOfUnsecuredLines","age","NumberOfTime30.59DaysPastDueNotWorse","DebtRatio","MonthlyIncome","NumberOfOpenCreditLinesAndLoans","NumberOfTimes90DaysLate","NumberRealEstateLoansOrLines","NumberOfTime60.89DaysPastDueNotWorse","NumberOfDependents","Class"
0.220051995,51,0,4116,NA,15,0,2,0,0,"0"
0.142175356,42,0,0.686475979,3600,5,0,2,0,3,"0"
0.000388048,30,0,0.048271922,3500,6,0,0,0,0,"0"
0.074555164,41,0,0.252650634,11600,6,0,1,0,1,"0"
0.409278387,53,0,0.682947522,8250,15,0,2,0,0,"0"
0.123152709,73,0,0.330304407,2200,11,0,1,0,0,"0"
0.035749106,53,0,0.26815713,7916,8,0,1,0,0,"0"
0.178838161,64,0,0.106021855,4300,12,0,1,0,0,"0"
0.518253723,57,0,0.404673853,12708,9,0,1,0,1,"0"
0.046415495,55,0,724,0,6,0,0,0,0,"0"
0.885874275,65,0,0.282226481,12000,6,0,1,0,2,"0"
0.880621877,45,2,1.348988687,2916,6,0,2,0,0,"0"
0.027447645,45,0,1.705854127,2083,12,0,1,0,2,"0"
0.889912407,76,1,0.437845098,6700,8,0,1,0,0,"0"
0.190640837,34,0,945,NA,8,0,0,0,2,"0"
1.030579241,42,1,0.422692534,1700,4,1,0,0,1,"0"
0.012599496,41,0,407,0,7,0,0,0,0,"0"
0.056015077,44,0,0.331609466,6380,7,0,0,0,5,"0"
0.033867006,69,1,10.24861265,900,14,0,3,0,0,"0"
0.137431284,41,1,0.292505205,8645,7,1,2,0,2,"0"
0.986871547,63,0,0.193424526,8333,6,0,0,0,2,"0"
0.049062807,67,0,0.276215473,8000,9,0,1,0,0,"0"
1.047495906,35,2,0.314566116,3871,8,0,2,1,3,"0"
0.13470148,50,0,0.422242732,4333,9,0,2,0,1,"0"
0.645490739,58,0,0.323554207,11861,15,0,2,0,1,"0"
0.012504837,80,0,0.368252699,2500,13,0,1,0,2,"0"
0.06137026,72,0,0.275938947,5830,6,0,1,0,1,"0"
0.013532431,73,0,6,NA,2,0,0,0,0,"0"
0.015116469,61,0,0.38592443,6933,12,0,1,0,0,"0"
0.393871602,36,2,0.276134944,2400,5,0,0,1,1,"0"
0.04219578,38,0,0.352202806,8125,4,0,1,0,2,"0"
0.027266838,83,0,0.00367165,7625,7,0,0,0,0,"0"
0.121128899,50,0,0.369907523,4000,11,0,1,0,0,"0"
0.040951854,70,0,96,NA,7,0,0,0,0,"0"
0.076144188,51,1,0.163426926,8333,6,0,1,0,0,"0"
0,64,2,0.119610049,8000,14,0,1,0,0,"0"
0.714906562,66,2,0.384708007,6643,5,1,3,0,1,"0"
0.041900771,34,0,0.342589418,8750,6,0,1,0,1,"0"
0.432017494,51,0,0.126638525,4500,8,0,0,0,1,"0"
0.24198285,41,0,0.266269076,5700,6,0,2,0,2,"0"
0.206444221,63,0,0.047639047,16666,16,0,0,0,0,"0"
0.764024235,59,3,0.582748245,10966,14,0,5,0,0,"0"
0.9999999,27,0,476,0,1,0,0,0,0,"0"
0.163341835,61,0,0.408520527,6454,17,0,1,0,0,"0"
0.147704591,24,0,0.085231447,1360,2,0,0,0,0,"0"
0.465124578,53,0,1.255355613,2333,8,0,1,0,2,"0"
0.9999999,49,98,0,2083,0,98,0,98,1,"0"
0.121457049,62,0,0.192426667,9374,5,0,1,0,0,"0"
0.833219723,33,0,0.236428009,2541,4,1,0,0,4,"0"
0.646561049,60,0,2559,NA,11,0,2,0,0,"0"
0.384673734,49,0,0.363436426,7274,18,0,2,0,1,"0"
0.095728339,65,0,1.036473088,2823,27,0,2,0,0,"0"
0.366314318,44,0,3207,NA,16,0,2,0,0,"0"
0.882583892,66,0,0.159403383,12000,4,0,0,0,0,"0"
0.704779854,30,0,0.84498094,2360,9,0,1,0,0,"0"
0.020560295,67,0,0.08006856,4083,7,0,1,0,0,"0"
0.036741887,34,0,0.13243762,4167,9,0,0,0,0,"0"
0.109789242,29,0,0.769230769,1000,9,0,1,0,0,"0"
0.331607555,58,0,0.825087456,2000,12,0,0,0,0,"0"
0.182240888,50,0,1717,NA,2,0,1,0,0,"0"
0.085111854,51,0,0.521098119,5900,4,0,1,0,1,"0"
0.096207448,60,0,0.165257494,1300,7,0,0,0,0,"0"
0.002110226,83,0,0.000736196,4074,11,0,0,0,0,"0"
0,45,0,0.365016502,7574,10,0,2,0,1,"0"
0.502123542,50,0,0.406088902,10280,11,0,1,0,0,"0"
0.00997094,74,0,0.306134969,6519,15,0,1,0,0,"0"
0.9999999,23,0,2,NA,0,0,0,0,NA,"0"
0.304793643,35,1,1652,NA,6,0,1,0,0,"0"
0.015910938,76,0,0.311965812,6785,9,0,1,0,1,"0"
0.010908099,28,0,53,NA,4,0,0,0,1,"0"
0.302882422,32,0,0.423017326,7098,15,0,2,0,0,"0"
0.038019632,51,0,0.197690115,20000,12,0,2,0,3,"0"
0.840013114,47,3,1808,NA,5,0,1,0,1,"0"
0.031510123,46,1,0.006273764,5259,5,0,0,0,0,"0"
0.125821625,43,0,0.384184215,6600,13,0,1,0,1,"0"
0.110755031,33,0,0.51497944,5106,11,0,1,0,0,"0"
0.038628598,48,0,0.136506688,7625,8,0,0,0,4,"0"
0.210439248,38,0,0.188315515,11878,7,0,1,0,3,"0"
0.496025902,72,0,0.785076758,2800,11,0,1,0,0,"0"
0.041924682,71,0,27,0,4,0,0,0,0,"0"
0.054376569,58,0,0.107509881,6324,5,0,0,0,0,"0"
0,47,0,0.261519736,5750,6,0,2,0,3,"0"
0.178984398,67,0,1839,NA,9,0,1,0,0,"0"
0.203416882,61,0,0.542323928,4500,9,0,2,0,0,"0"
0.429752411,43,0,0.451827935,9600,12,0,1,0,0,"0"
0.027053844,75,0,0.006239501,8333,4,0,0,0,0,"0"
0.21634201,25,0,0.026409707,1400,4,0,0,0,0,"0"
0.086849705,28,0,59,0,4,0,0,0,0,"0"
0.155307875,46,0,881,NA,6,0,1,0,0,"0"
0.037759061,80,0,36,NA,5,0,0,0,NA,"0"
0.656725502,68,0,0.860116167,2065,11,0,1,0,1,"0"
0.045719392,63,0,2369,NA,23,0,2,0,0,"0"
0.9999999,63,0,675,NA,2,1,0,0,0,"0"
0.641702827,56,0,1247,NA,8,0,0,0,NA,"0"
0.523400785,54,1,0.553949641,11000,23,0,4,0,1,"0"
0.004813478,87,0,2,NA,4,0,0,0,0,"0"
0.549056368,37,0,0.404485274,3700,4,0,1,0,2,"0"
0.253030753,31,0,0.449164067,12500,12,0,2,0,0,"0"
0.871975945,50,0,4132,NA,11,0,1,0,3,"0"
0.020387755,68,0,0.256477134,5750,8,0,2,0,0,"0"
0,71,1,0.085076244,12000,11,0,2,0,2,"0"
0.191535604,77,0,0.544459882,5757,29,0,2,0,0,"0"
0.627933392,33,1,0.2695462,5486,9,0,0,0,1,"0"
0.002875754,32,0,71,NA,2,0,0,0,0,"0"
0.004810724,81,0,0.00532978,1500,11,0,0,0,0,"0"
0,59,0,0,NA,4,0,0,0,0,"0"
0.149864384,47,0,0.508397761,3750,17,0,2,0,0,"0"
0.060477907,77,0,0.012140034,7083,11,0,0,0,0,"0"
0.954197875,47,1,0.300676293,5470,7,0,1,0,2,"0"
0.066526216,55,0,0.267395114,9700,7,0,2,0,1,"0"
0.819185605,57,3,0.438430605,9200,13,0,1,0,3,"0"
0.9999999,33,0,0.377426312,6954,7,0,3,0,1,"0"
0.00800284,54,0,1678,NA,7,0,0,0,NA,"0"
0.173494897,86,0,0.04525585,3888,4,0,0,0,0,"0"
0.433815199,55,0,0.436531117,4450,16,0,0,0,0,"0"
0.168838252,37,0,0.723138431,2000,4,0,1,0,2,"0"
0.021745678,84,0,42,NA,11,0,0,0,0,"0"
0.030692383,64,0,0.01109889,10000,23,0,0,0,0,"0"
0.007182445,59,0,0.223449216,7334,12,0,2,0,0,"0"
0.691482592,29,1,0.10592716,4200,4,0,0,0,0,"0"
0.863777261,51,0,10.96718973,700,15,0,2,0,0,"0"
0.492543802,33,0,3115,NA,9,0,1,0,0,"0"
0.081159925,67,0,0.027662056,6000,5,0,0,0,0,"0"
0.30428262,32,0,0.274722886,4600,8,0,1,0,0,"0"
0.083495825,61,0,0.573071155,6000,5,0,2,0,0,"0"
0.551054225,46,0,0.425905598,5465,5,0,2,0,3,"0"
0.9999999,57,0,0,NA,0,1,0,0,0,"0"
0.606754055,55,0,0.202843812,4500,4,0,0,0,0,"0"
0.943541357,35,0,0.486756709,5700,8,0,1,0,1,"0"
0.059518002,49,0,0.031610142,9110,23,0,0,0,0,"0"
0.129638758,25,2,0.051189762,5000,9,0,0,1,1,"0"
0.005210914,61,0,2503,NA,18,0,1,0,0,"0"
0.719163334,38,0,0.078150521,7958,5,0,0,0,0,"0"
0.033561829,65,0,0.085192698,8873,5,0,1,0,2,"0"
0.052927363,55,0,0.10268694,4800,4,0,0,0,1,"0"
0.050574333,59,0,0.002571061,7000,3,0,0,0,0,"0"
0.020666175,43,0,0.148691768,4700,4,0,1,0,2,"0"
0.397200933,36,1,0.226950355,2960,4,0,0,0,4,"0"
0.869130869,49,0,1.012993503,2000,6,0,1,0,0,"0"
0.016544156,60,0,1193,NA,15,0,1,0,NA,"0"
0.068445448,41,0,0.150094434,9000,4,0,1,0,3,"0"
0.97330267,42,0,0.340806231,9500,7,0,2,0,2,"0"
0.12739982,39,0,183,1,3,0,0,0,2,"0"
0.152001959,38,0,0.376144205,7100,18,0,1,0,1,"0"
0.30232466,48,0,0.273136343,6666,10,0,1,0,0,"0"
0.610836365,56,0,0.731424556,5692,18,0,2,0,0,"0"
