Id;SepalLengthCm;SepalWidthCm;PetalLengthCm;PetalWidthCm;Species
82;5.5;2.4;3.7;1.0;Iris-versicolor
86;5.5;2.4;3.8;1.1;Iris-versicolor
52;5.6;3.0;4.1;1.3;Iris-versicolor
53;5.6;2.7;4.2;1.3;Iris-versicolor
67;5.6;3.0;4.5;1.5;Iris-versicolor
87;5.6;2.5;3.9;1.1;Iris-versicolor
107;5.6;2.8;4.9;2.0;Iris-virginica
44;5.7;3.8;1.7;0.3;Iris-setosa
45;5.7;;1.5;0.4;Iris-setosa
48;5.7;3.0;4.2;1.2;Iris-versicolor
51;5.7;2.8;4.1;1.3;Iris-versicolor
54;5.7;2.9;4.2;1.3;Iris-versicolor
81;5.7;2.6;3.5;;Iris-versicolor
90;5.7;2.8;4.5;1.3;Iris-versicolor
108;5.7;2.5;5.0;2.0;Iris-virginica
46;;2.7;3.9;1.2;Iris-versicolor
47;5.8;2.6;4.0;1.2;Iris-versicolor
84;5.8;2.7;4.1;1.0;Iris-versicolor
103;5.8;2.7;5.1;1.9;Iris-virginica
104;5.8;2.7;5.1;1.9;Iris-virginica
130;5.8;2.8;5.1;2.4;Iris-virginica
63;5.9;3.0;4.2;1.5;Iris-versicolor
77;5.9;3.2;4.8;1.8;Iris-versicolor
98;5.9;3.0;5.1;1.8;Iris-virginica
65;6.0;2.9;4.5;1.5;Iris-versicolor
73;6.0;3.4;4.5;1.6;Iris-versicolor
75;6.0;2.7;5.1;1.6;Iris-versicolor
83;6.0;2.2;4.0;1.0;Iris-versicolor
92;;2.2;5.0;1.5;Iris-virginica
95;6.0;3.0;4.8;1.8;Iris-virginica
59;6.1;3.0;4.6;1.4;Iris-versicolor
60;6.1;2.9;4.7;1.4;Iris-versicolor
88;6.1;2.8;4.7;1.2;Iris-versicolor
89;6.1;2.8;4.0;1.3;Iris-versicolor
91;6.1;2.6;5.6;1.4;Iris-virginica
97;6.1;3.0;4.9;1.8;Iris-virginica
55;6.2;2.9;4.3;1.3;Iris-versicolor
64;6.2;2.2;4.5;1.5;Iris-versicolor
125;6.2;3.4;5.4;2.3;Iris-virginica
57;6.3;2.3;;1.3;Iris-versicolor
71;6.3;2.5;4.9;1.5;Iris-versicolor
74;6.3;3.3;4.7;1.6;Iris-versicolor
96;6.3;2.7;4.9;1.8;Iris-virginica
101;6.3;2.9;5.6;1.8;Iris-virginica
132;6.3;3.4;5.6;2.4;Iris-virginica
134;6.3;3.3;6.0;2.5;Iris-virginica
56;;2.9;4.3;1.3;Iris-versicolor
68;6.4;3.2;4.5;1.5;Iris-versicolor
100;6.4;3.1;5.5;1.8;Iris-virginica
105;6.4;2.7;5.3;1.9;Iris-virginica
115;6.4;2.8;5.6;2.1;Iris-virginica
119;6.4;2.8;5.6;2.2;Iris-virginica
124;6.4;3.2;5.3;2.3;Iris-virginica
69;6.5;2.8;4.6;1.5;Iris-versicolor
99;6.5;3.0;5.5;1.8;Iris-virginica
109;6.5;3.2;5.1;2.0;Iris-virginica
110;6.5;3.0;5.2;2.0;Iris-virginica
120;6.5;3.0;5.8;2.2;Iris-virginica
58;6.6;2.9;4.6;1.3;Iris-versicolor
70;6.7;3.1;4.7;1.5;Iris-versicolor
76;6.7;3.0;5.0;1.7;Iris-versicolor
102;6.7;2.5;5.8;1.8;Iris-virginica
116;6.7;3.3;5.7;2.1;Iris-virginica
123;6.7;3.0;5.2;2.3;Iris-virginica
131;6.7;3.1;5.6;2.4;Iris-virginica
133;6.7;3.3;5.7;;Iris-virginica
62;6.8;2.8;4.8;1.4;Iris-versicolor
114;6.8;3.0;5.5;2.1;Iris-virginica
127;6.8;3.2;5.9;2.3;Iris-virginica
72;6.9;3.1;4.9;1.5;Iris-versicolor
113;6.9;3.1;5.4;2.1;Iris-virginica
122;6.9;3.1;5.1;2.3;Iris-virginica
126;6.9;3.2;5.7;2.3;Iris-virginica
61;7.0;3.2;4.7;1.4;Iris-versicolor
117;7.1;3.0;5.9;2.1;Iris-virginica
93;7.2;3.0;5.8;1.6;Iris-virginica
135;7.2;3.6;6.1;2.5;Iris-virginica
106;7.4;2.8;6.1;1.9;Iris-virginica
118;7.6;3.0;6.6;2.1;Iris-virginica
112;7.7;2.8;6.7;2.0;Iris-virginica
121;7.7;3.8;6.7;2.2;Iris-virginica
128;7.7;3.0;6.1;2.3;Iris-virginica
129;7.7;2.6;6.9;2.3;Iris-virginica
111;7.9;3.8;6.4;2.0;Iris-virginica
